CUSTOMERID,EMAILADDRESS,PHONENUMBER,FAXNUMBER,WEBADDRESS,ADDRESSID,COMPANYNAME,LEGALFORM,CREATEDBY,CREATEDAT,CHANGEDBY,CHANGEDAT,CURRENCY
0100000005,bart.koenig@alphabikes.de,2511415,,http://www.alphabikes.de,1000000039,Alpha AG,AG,0000000006,20181003,0000000006,20181003,EUR
0100000006,sarah.schwind@buchungkreis-gmbh.de,9078563412,,http://www.buchungkreis-gmbh.de,1000000040,BuchungsKreis 1010,GmbH,0000000001,20181003,0000000001,20181003,EUR
0100000007,mirjam.schmidt@trekcycle-berlin.de,149744423,,http://www.trekcycle-berlin.de,1000000041,Trek Cycle AG,AG,0000000008,20181003,0000000008,20181003,EUR
0100000010,jorgemontalban@avantegrande.co.uk,6789012345,,http://www.avantegrande.co.uk,1000000044,Avante Grande Bikes,Ltd.,0000000010,20181003,0000000010,20181003,GBP
0100000012,miguel.luengo@carefreecycles.com,2589436180,,http://www.carefreecycles.com,1000000046,Carefree Cycles,Ltd.,0000000001,20181003,0000000001,20181003,GBP
0100000013,isabel.nemours@gnmbikes.co.uk,4507867136,,http://www.gnmbikes.co.uk/,1000000047,G&M Bicycle,Ltd.,0000000008,20181003,0000000008,20181003,GBP
0100000018,yoshiko.kakuji@techcyclecanberra.com.au,4440238917,,http://www.techcyclecanberra.com.au,1000000052,TechCycle Canberra,Inc.,0000000008,20181003,0000000008,20181003,AUD
0100000020,sujaymishra@cycleworld.co.in,4050378468,,http://www.cycleworld.co.in,1000000054,Cycle World,Ltd.,0000000012,20181003,0000000012,20181003,INR
0100000021,madhu.kumar@hitechsport.com,6065470312,,http://www.hitechsport.com,1000000055,High Tech Sports Inc,Ltd.,0000000008,20181003,0000000008,20181003,INR
0100000022,pooja.singh@tiresonfire.co.in,7980023486,,http://www.tiresonfire.co.in,1000000056,Tires On Fire,Ltd.,0000000003,20181003,0000000003,20181003,INR
0100000024,aditya.rajput@fitnessworld.co.in,3206580974,,http://www.fitnessworld.co.in,1000000058,FitnessWorld,Ltd.,0000000001,20181003,0000000001,20181003,INR
0100000025,mudassir.k@homerundubai.com,4580963184,,http://www.homerundubai.com,1000000059,Homerun Millwork Inc.,Inc.,0000000005,20181003,0000000005,20181003,AED
0100000026,rehanshehzad@antoniobikes.com,1012697341,,http://www.antoniobikes.com,1000000060,Antonio Bandolera,Inc.,0000000004,20181003,0000000004,20181003,AED
0100000027,sarfaraz.khan@khancycles.ae,7345697824,,http://www.khancycles.ae,1000000061,Khan Cycles,Inc.,0000000006,20181003,0000000006,20181003,AED
0100000028,alam.sheikh@palmbeachbikes.ae,469614115,,http://www.palmbeachbikes.ae,1000000062,Palm Beach Bike World,Inc.,0000000007,20181003,0000000007,20181003,AED
0100000029,bhushan.shetty@a2zfitnes.com,6839542781,,http://www.a2zfitnes.com,1000000063,A to Z Fitness,Inc.,0000000009,20181003,0000000009,20181003,AED
0100000030,romain.le_mason@hudsonsport.ca,6714954542,,http://www.hudsonsport.ca,1000000064,Hudson SportsTec,Ltd.,0000000010,20181003,0000000010,20181003,CAD
0100000033,jonathan.d.mason@movebybike.ca,4136278910,,http://www.movebybike.ca,1000000067,Move by Bike,Ltd.,0000000001,20181003,0000000001,20181003,CAD
0100000036,jorge.velez@unolabmanufacturing.com,4381762683,,http://www.unolabmanufacturing.com,1000000070,Unolab Manufacturing,S.A.R.L.,0000000013,20181003,0000000013,20181003,EUR
0100000039,theodor.monathy@eiffelbikes.fr,4203876954,,http://www.eiffelbikes.fr,1000000073,Eiffel Bikes,S.A.R.L.,0000000009,20181003,0000000009,20181003,EUR
